"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1399e+05,1,0,0,0,0
5.537e+06,1,5e-10,5e-10,0,0
1.3915e+07,1,1e-09,1e-09,0,0
2.1855e+07,1,1.5e-09,1.5e-09,0,0
2.7702e+07,1,2e-09,2e-09,0,0
3.1059e+07,1,2.5e-09,2.5e-09,0,0
3.2471e+07,1,3e-09,3e-09,0,0
3.2767e+07,1,3.5e-09,3.5e-09,0,0
3.2572e+07,1,4e-09,4e-09,0,0
3.2213e+07,1,4.5e-09,4.5e-09,0,0
3.1812e+07,1,5e-09,5e-09,0,0
3.1405e+07,1,5.5e-09,5.5e-09,0,0
3.1001e+07,1,6e-09,6e-09,0,0
3.0599e+07,1,6.5e-09,6.5e-09,0,0
3.0202e+07,1,7e-09,7e-09,0,0
2.9808e+07,1,7.5e-09,7.5e-09,0,0
2.9419e+07,1,8e-09,8e-09,0,0
2.9033e+07,1,8.5e-09,8.5e-09,0,0
2.865e+07,1,9e-09,9e-09,0,0
2.8272e+07,1,9.5e-09,9.5e-09,0,0
2.7897e+07,1,1e-08,1e-08,0,0
2.7526e+07,1,1.05e-08,1.05e-08,0,0
2.7159e+07,1,1.1e-08,1.1e-08,0,0
2.6796e+07,1,1.15e-08,1.15e-08,0,0
2.6437e+07,1,1.2e-08,1.2e-08,0,0
2.6082e+07,1,1.25e-08,1.25e-08,0,0
2.5731e+07,1,1.3e-08,1.3e-08,0,0
2.5383e+07,1,1.35e-08,1.35e-08,0,0
2.5041e+07,1,1.4e-08,1.4e-08,0,0
2.47e+07,1,1.45e-08,1.45e-08,0,0
2.4366e+07,1,1.5e-08,1.5e-08,0,0
2.4033e+07,1,1.55e-08,1.55e-08,0,0
2.3707e+07,1,1.6e-08,1.6e-08,0,0
2.3382e+07,1,1.65e-08,1.65e-08,0,0
2.3063e+07,1,1.7e-08,1.7e-08,0,0
2.2746e+07,1,1.75e-08,1.75e-08,0,0
2.2435e+07,1,1.8e-08,1.8e-08,0,0
2.2126e+07,1,1.85e-08,1.85e-08,0,0
2.1823e+07,1,1.9e-08,1.9e-08,0,0
2.1521e+07,1,1.95e-08,1.95e-08,0,0
2.1226e+07,1,2e-08,2e-08,0,0
2.0931e+07,1,2.05e-08,2.05e-08,0,0
2.0644e+07,1,2.1e-08,2.1e-08,0,0
2.0357e+07,1,2.15e-08,2.15e-08,0,0
2.0077e+07,1,2.2e-08,2.2e-08,0,0
